"id","AC","DE","GA","TP","ML"
"LodA_C","PF18417.4","L-lysine epsilon oxidase C-terminal domain","25; 25;","Domain",148
"LodA_N","PF17990.4","L-Lysine epsilon oxidase N-terminal","26.3; 26.3;","Domain",223
"LOH1CR12","PF10158.12","Tumour suppressor protein","24.7; 24.7;","Family",131
"LolA","PF03548.18","Outer membrane lipoprotein carrier protein LolA","23.6; 23.6;","Family",165
"LolA_2","PF16584.8","Outer membrane lipoprotein carrier protein LolA","26.8; 26.8;","Family",152
"LolA_3","PF19574.2","Outer membrane lipoprotein carrier protein LolA-like","23; 23;","Domain",192
"LolA_like","PF17131.7","Outer membrane lipoprotein-sorting protein","30; 30;","Family",184
"LolB","PF03550.17","Outer membrane lipoprotein LolB","23.7; 23.7;","Family",152
"LonB_AAA-LID","PF20436.1","Archaeal LonB, AAA+ ATPase LID domain","22.4; 22.4;","Domain",65
"LonC_helical","PF20437.1","Lon-like LonC helical domain","24; 24;","Domain",34
"Longin","PF13774.9","Regulated-SNARE-like domain","26.2; 26.2;","Domain",84
"Longin_2","PF18639.4","Yeast longin domain","27.3; 27.3;","Domain",161
"Lon_C","PF05362.16","Lon protease (S16) C-terminal proteolytic domain","21.1; 21.1;","Domain",205
"LON_substr_bdg","PF02190.19","ATP-dependent protease La (LON) substrate-binding domain","28.7; 28.7;","Family",205
"LOR","PF04525.15","LURP-one-related","24.5; 24.5;","Domain",187
"Loricrin","PF15847.8","Major keratinocyte cell envelope protein","27; 27;","Family",312
"LPAM_1","PF08139.15","Prokaryotic membrane lipoprotein lipid attachment site","20; 20;","Motif",18
"LPAM_2","PF13627.9","Prokaryotic lipoprotein-attachment site","19.6; 19.6;","Motif",23
"LPD1","PF18796.4","Large polyvalent protein-associated domain 1","27; 27;","Domain",78
"LPD11","PF18824.4","Large polyvalent protein-associated domain 11","27; 27;","Domain",69
"LPD13","PF18825.4","Large polyvalent protein-associated domain 13","27; 27;","Domain",139
"LPD14","PF18827.4","Large polyvalent protein-associated domain 14","27; 27;","Domain",136
"LPD15","PF18828.4","Large polyvalent-protein-associated domain 15","27; 27;","Domain",99
"LPD16","PF18830.4","Large polyvalent protein-associated domain 16","27; 27;","Domain",82
"LPD18","PF18832.4","Large polyvalent protein-associated domain 18","43.5; 43.5;","Domain",86
"LPD22","PF18834.4","Large polyvalent protein associated domain 22","28.6; 28.6;","Domain",98
"LPD23","PF18838.4","Large polyvalent protein associated domain 23","27; 27;","Domain",58
"LPD24","PF18839.4","Large polyvalent protein associated domain 24","27; 27;","Domain",70
"LPD25","PF18840.4","Large polyvalent protein associated domain 25","27; 27;","Domain",102
"LPD26","PF18842.4","Large polyvalent protein associated domain 26","27; 27;","Domain",57
"LPD28","PF18843.4","Large polyvalent protein associated domain 28","27; 27;","Domain",97
"LPD29","PF18847.4","Large polyvalent protein associated domain 29","27; 27;","Domain",94
"LPD3","PF18798.4","Large polyvalent protein-associated domain 3","27; 27;","Family",113
"LPD30","PF18850.4","Large polyvalent protein associated domain 30","27; 27;","Domain",121
"LPD34","PF18852.4","Large polyvalent protein associated domain 34","27; 27;","Domain",213
"LPD37","PF18853.4","Large polyvalent protein associated domain 37","27; 27;","Domain",245
"LPD38","PF18857.4","Large polyvalent protein associated domain 38","27; 27;","Domain",190
"LPD39","PF18858.4","Large polyvalent protein associated domain 39","27; 27;","Domain",198
"LPD5","PF18799.4","Large polyvalent protein-associated domain 5","27; 27;","Domain",146
"LPD7","PF18821.4","Large polyvalent protein-associated domain 7","27; 27;","Domain",92
"LPG_synthase_C","PF09924.12","Phosphatidylglycerol lysyltransferase, C-terminal","27.5; 27.5;","Family",299
"LPG_synthase_TM","PF03706.16","Lysylphosphatidylglycerol synthase TM region","33.4; 33.4;","Family",300
"LPMO_10","PF03067.18","Lytic polysaccharide mono-oxygenase, cellulose-degrading","23; 23;","Domain",193
"LpoB","PF13036.9","Peptidoglycan-synthase activator LpoB","22.3; 22.3;","Family",147
"LPP","PF04728.16","Lipoprotein leucine-zipper","29.1; 29.1;","Coiled-coil",53
"Lpp-LpqN","PF10738.12","Probable lipoprotein LpqN","22.4; 22.4;","Family",174
"LPP20","PF02169.19","LPP20 lipoprotein","25.9; 25.9;","Family",95
"LppA","PF16708.8","Lipoprotein confined to pathogenic Mycobacterium","26.4; 26.4;","Domain",153
"LppC","PF04348.16","LppC putative lipoprotein","28.8; 28.8;","Family",535
"LppX_LprAFG","PF07161.16","LppX_LprAFG lipoprotein","24; 24;","Family",191
"LpqV","PF17301.5","Putative lipoprotein LpqV","25; 25;","Family",114
"LprI","PF07007.15","Lysozyme inhibitor LprI","22; 22;","Domain",95
"LptC","PF06835.16","Lipopolysaccharide-assembly, LptC-related","21; 21;","Family",175
"LptD","PF04453.17","LPS transport system D","22.4; 22.4;","Family",387
"LptD_2","PF19838.2","LptD protein","22.5; 22.5;","Domain",465
"LptD_N","PF03968.17","LptA/(LptD N-terminal domain) LPS transport protein","20.4; 20.4;","Domain",113
"LptE","PF04390.15","Lipopolysaccharide-assembly","23; 23;","Family",108
"LptF_LptG","PF03739.17","Lipopolysaccharide export system permease LptF/LptG","27.9; 27.9;","Family",354
"LpxB","PF02684.18","Lipid-A-disaccharide synthetase","22.6; 22.6;","Family",374
"LpxC","PF03331.16","UDP-3-O-acyl N-acetylglycosamine deacetylase","27; 27;","Family",268
"LpxD","PF04613.17","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD","30.8; 30.8;","Family",70
"LpxI_C","PF06230.14","LpxI C-terminal domain","25; 25;","Domain",133
"LpxI_N","PF17930.4","LpxI N-terminal domain","25; 25;","Domain",129
"LpxK","PF02606.17","Tetraacyldisaccharide-1-P 4'-kinase","27; 27;","Family",327
"LRAT","PF04970.16","Lecithin retinol acyltransferase","24.3; 24.3;","Domain",127
"LrgA","PF03788.17","LrgA family","28; 28;","Family",94
"LrgB","PF04172.19","LrgB-like family","25; 25;","Family",214
"LRIF1","PF15741.8","Ligand-dependent nuclear receptor-interacting factor 1","27; 27;","Family",749
"LRR19-TM","PF15176.9","Leucine-rich repeat family 19 TM domain","27; 27;","Domain",115
"LRRC37","PF15779.8","Leucine-rich repeat-containing protein 37 family","27; 16.6;","Family",73
"LRRC37AB_C","PF14914.9","LRRC37A/B like protein 1 C-terminal domain","27; 27;","Family",147
"LRRCT","PF01463.27","Leucine rich repeat C-terminal domain","20; 6.6;","Family",26
"LRRCT_2","PF16920.8","Leucine rich repeat C-terminal motif","23.8; 23.8;","Motif",45
"LRRFIP","PF09738.12","LRRFIP family","28.2; 28.2;","Family",305
"LRRNT","PF01462.21","Leucine rich repeat N-terminal domain","25.8; 24.4;","Family",28
"LRRNT_2","PF08263.15","Leucine rich repeat N-terminal domain","20.7; 3.1;","Family",41
"LRR_1","PF00560.36","Leucine Rich Repeat","20.6; 9.3;","Repeat",23
"LRR_10","PF18805.4","Leucine-rich repeat","30; 20;","Repeat",67
"LRR_11","PF18831.4","Leucine-rich repeat","29; 20;","Repeat",29
"LRR_12","PF18837.4","Leucine-rich repeat","34; 20;","Repeat",30
"LRR_2","PF07723.16","Leucine Rich Repeat","20.9; 9.5;","Repeat",26
"LRR_3","PF07725.15","Leucine Rich Repeat","20.2; 20.2;","Repeat",20
"LRR_4","PF12799.10","Leucine Rich repeats (2 copies)","27; 27;","Repeat",43
"LRR_5","PF13306.9","BspA type Leucine rich repeat region (6 copies)","27.7; 10;","Repeat",128
"LRR_6","PF13516.9","Leucine Rich repeat","23.4; 8.7;","Repeat",24
"LRR_8","PF13855.9","Leucine rich repeat","27; 27;","Repeat",61
"LRR_9","PF14580.9","Leucine-rich repeat","30.5; 30.5;","Repeat",175
"LRR_adjacent","PF08191.14","LRR adjacent","21.8; 5.7;","Family",57
"LRR_RI_capping","PF18779.4","Capping Ribonuclease inhibitor Leucine Rich Repeat","33; 20;","Repeat",30
"LRS4","PF10422.12","Monopolin complex subunit LRS4","24.2; 24.2;","Family",249
"LRV","PF01816.20","Leucine rich repeat variant","21.6; 21.6;","Repeat",26
"LRV_FeS","PF05484.14","LRV protein FeS4 cluster","27; 27;","Repeat",53
"LSDAT_euk","PF18139.4","SLOG in TRPM","25.7; 25.7;","Family",266
"LSDAT_prok","PF18171.4","SLOG in TRPM, prokaryote","25.4; 25.4;","Family",194
"LSM","PF01423.25","LSM domain","23.4; 23.4;","Domain",67
"LSM14","PF12701.10","Scd6-like Sm domain","30; 30;","Domain",75
"LsmAD","PF06741.16","LsmAD domain","25; 25;","Domain",72
"Lsm_C","PF14894.9","Lsm C-terminal","27; 27;","Domain",63
"Lsm_interact","PF05391.14","Lsm interaction motif","21.4; 21.4;","Motif",19
"LSM_int_assoc","PF16605.8","LSM-interacting associated unstructured","26.8; 26.8;","Disordered",61
"LSPR","PF06049.15","Coagulation Factor V LSPD Repeat","76; 1;","Repeat",9
"LSR","PF05624.17","Lipolysis stimulated receptor (LSR)","25; 25;","Domain",48
"Lsr2","PF11774.11","Lsr2","29.6; 29.6;","Family",110
"LssY_C","PF14067.9","LssY C-terminus","25; 25;","Family",188
"LST1","PF05083.16","LST-1 protein","22.3; 22.3;","Family",78
"LT-IIB","PF06453.14","Type II heat-labile enterotoxin , B subunit (LT-IIB)","25; 25;","Domain",122
"LTD","PF00932.22","Lamin Tail Domain","34.3; 34.3;","Domain",112
"LTP_2","PF14368.9","Probable lipid transfer","22; 22;","Family",99
"LtrA","PF06772.14","Bacterial low temperature requirement A protein (LtrA)","31.9; 31.9;","Family",356
"LtuA","PF17446.5","Late transcription unit A","25; 25;","Family",46
"LtuB","PF17455.5","Late transcription unit B","25; 25;","Family",79
"LTV","PF04180.17","Low temperature viability protein","28; 28;","Family",381
"LTXXQ","PF07813.15","LTXXQ motif family protein","24.3; 24.3;","Family",98
"LUC7","PF03194.18","LUC7 N_terminus","33; 33;","Family",251
"Luciferase_3H","PF10284.12","Luciferase helical bundle domain","25; 25;","Domain",66
"Luciferase_cat","PF10285.12","Luciferase catalytic domain","25; 25;","Domain",296
"Luciferase_N","PF05295.14","Luciferase/LBP N-terminal domain","25; 25;","Domain",82
"LUD_dom","PF02589.18","LUD domain","22.6; 22.6;","Domain",189
"Lumazine_bd_2","PF12893.10","Putative lumazine-binding","22.1; 22.1;","Family",116
"Lum_binding","PF00677.20","Lumazine binding domain","27; 27;","Domain",87
"Lung_7-TM_R","PF06814.16","Lung seven transmembrane receptor","25.2; 25.2;","Family",295
"LupA","PF18242.4","Legionella ubiquitin-specific protease A domain","25; 25;","Domain",178
"LURAP","PF14854.9","Leucine rich adaptor protein","25; 25;","Family",118
"Lustrin_cystein","PF14625.9","Lustrin, cysteine-rich repeated domain","27; 15;","Domain",45
"LutB_C","PF11870.11","Lactate utilisation protein B, C-terminal","26.8; 26.8;","Domain",88
"Luteo_coat","PF00894.21","Luteovirus coat protein","23; 23;","Family",138
"Luteo_P1-P2","PF08467.13","Luteovirus RNA polymerase P1-P2/replicase","27; 27;","Family",339
"Luteo_PO","PF04662.16","Luteovirus P0 protein","29.3; 29.3;","Family",208
"Luteo_Vpg","PF01659.19","Luteovirus putative VPg genome linked protein","25; 25;","Family",104
"LuxC","PF05893.17","Acyl-CoA reductase (LuxC)","21; 21;","Family",401
"LuxE","PF04443.15","Acyl-protein synthetase, LuxE","24.9; 24.9;","Family",375
"LuxQ-periplasm","PF09308.13","LuxQ, periplasmic","25.7; 25.7;","Domain",239
"LuxS","PF02664.18","S-Ribosylhomocysteinase (LuxS)","27; 27;","Family",154
"LuxT_C","PF18285.4","Tetracycline repressor LuxT C-terminal domain","25; 25;","Domain",87
"LVIVD","PF08309.14","LVIVD repeat","20.2; 7.3;","Repeat",42
"LXG","PF04740.15","LXG domain of WXG superfamily","26.5; 26.5;","Family",202
"Ly-6_related","PF06579.15","Caenorhabditis elegans ly-6-related protein","24.4; 24.4;","Family",125
"Ly49","PF08391.13","Ly49-like protein, N-terminal region","31.5; 31.5;","Family",119
"Lyase_1","PF00206.23","Lyase","27; 27;","Domain",312
"Lyase_8","PF02278.21","Polysaccharide lyase family 8, super-sandwich domain","27; 27;","Family",254
"Lyase_8_C","PF02884.20","Polysaccharide lyase family 8, C-terminal beta-sandwich domain","22; 22;","Domain",69
"Lyase_8_N","PF08124.14","Polysaccharide lyase family 8, N terminal alpha-helical domain","24; 24;","Family",323
"Lyase_aromatic","PF00221.22","Aromatic amino acid lyase","27.3; 27.3;","Family",463
"Lyase_catalyt","PF09093.14","Lyase, catalytic","25.1; 25.1;","Domain",361
"Lyase_N","PF09092.14","Lyase, N terminal","26; 26;","Domain",167
"Lycopene_cyc","PF18916.3","Lycopene cyclase","27; 10;","Domain",92
"Lycopene_cycl","PF05834.15","Lycopene cyclase protein","23.4; 23.4;","Family",380
"LydB","PF16084.8","LydA-holin antagonist","28; 28;","Family",147
"LYRIC","PF15686.8","Lysine-rich CEACAM1 co-isolated protein family","30; 30;","Family",424
"LYRM2-like","PF20263.1","LYR motif-containing protein 2-like","26.8; 26.8;","Family",86
"Lys","PF00062.23","C-type lysozyme/alpha-lactalbumin family","27; 27;","Domain",123
"Lys-AminoMut_A","PF09043.14","D-Lysine 5,6-aminomutase TIM-barrel domain of alpha subunit","25; 25;","Domain",508
"LysE","PF01810.21","LysE type translocator","25.6; 25.6;","Family",193
"Lysine_decarbox","PF03641.17","Possible lysine decarboxylase","27; 27;","Family",132
"Lysis_col","PF02402.19","Lysis protein","25; 25;","Family",49
"LysM","PF01476.23","LysM domain","20.9; 11.8;","Domain",44
"Lysozyme_like","PF13702.9","Lysozyme-like","25; 25;","Domain",165
"LysR_substrate","PF03466.23","LysR substrate binding domain","28; 28;","Family",209
"Lysyl_oxidase","PF01186.20","Lysyl oxidase","20.4; 20.4;","Family",204
"Lys_export","PF03956.16","Lysine exporter LysO","23.8; 23.8;","Family",190
"Lys_Orn_oxgnase","PF13434.9","L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase","21.3; 21.3;","Family",341
"LYTB","PF02401.21","LytB protein","24.5; 24.5;","Family",265
"LytB_WW","PF18342.4","Endo-beta-N-acetylglucosaminidase LytB WW domain","25.8; 25.8;","Domain",66
"LytR_C","PF13399.9","LytR cell envelope-related transcriptional attenuator","22.2; 22.2;","Domain",85
"LytR_cpsA_psr","PF03816.17","LytR_cpsA_psr family","24.6; 24.6;","Family",152
"LytTR","PF04397.18","LytTr DNA-binding domain","22.6; 22.6;","Domain",98
"Lyx_isomer","PF07385.15","D-lyxose isomerase","24.4; 24.4;","Domain",223
"LZ3wCH","PF18517.4","Leucine zipper with capping helix domain","26.1; 26.1;","Domain",55
"Lzipper-MIP1","PF14389.9","Leucine-zipper of ternary complex factor MIP1","32.2; 32.2;","Family",84
"LZ_Tnp_IS481","PF13011.9","leucine-zipper of insertion element IS481","22.2; 22.2;","Family",85
"LZ_Tnp_IS66","PF13007.10","Transposase C of IS166 homeodomain","22.9; 22.9;","Family",69
"L_biotic_typeA","PF04604.16","Type-A lantibiotic","21.7; 21.7;","Family",51
"L_HMGIC_fpl","PF10242.12","Lipoma HMGIC fusion partner-like protein","25.2; 25.2;","Family",181
"L_lactis_ph-MCP","PF06673.14","Lactococcus lactis bacteriophage major capsid protein","27; 27;","Family",347
"L_lactis_RepB_C","PF06430.15","Lactococcus lactis RepB C-terminus","25; 25;","Family",122
"L_lac_phage_MSP","PF06488.14","Phage tail tube protein","23.6; 23.6;","Domain",218
"L_protein_N","PF15518.9","L protein N-terminus","27; 27;","Domain",93
"M","PF02370.19","M protein repeat","20.8; 15.6;","Repeat",21
"M-factor","PF03855.16","M-factor","25; 25;","Family",43
"M-inducer_phosp","PF06617.16","M-phase inducer phosphatase","25; 25;","Family",274
"m04gp34like","PF12216.11","Immune evasion protein","25; 25;","Family",272
"M11L","PF11099.11","Apoptosis regulator M11L like","26.9; 26.9;","Family",160
"M157","PF11624.11","MHC class I-like protein M157","25.4; 25.4;","Family",256
"M16C_assoc","PF08367.14","Peptidase M16C associated","25.3; 25.3;","Family",251
"M20_dimer","PF07687.17","Peptidase dimerisation domain","21; 21;","Domain",109
"M3","PF09213.13","M3","25; 25;","Domain",376
"M60-like_N","PF17291.5","N-terminal domain of M60-like peptidases","23; 23;","Domain",107
"M64_N","PF16217.8","Peptidase M64 N-terminus","27; 27;","Domain",122
"MA-Mit","PF09245.13","Mycoplasma arthritidis-derived mitogen","31; 31;","Domain",214
"MA3","PF02847.20","MA3 domain","23.2; 23.2;","Repeat",113
"MaAIMP_sms","PF16951.8","Putative methionine and alanine importer, small subunit","26.2; 26.2;","Family",60
"MAAL_C","PF07476.14","Methylaspartate ammonia-lyase C-terminus","27; 27;","Domain",249
"MAAL_N","PF05034.16","Methylaspartate ammonia-lyase N-terminus","27; 27;","Family",159
"Mab-21","PF03281.17","Mab-21 protein nucleotidyltransferase domain","24.1; 24.1;","Domain",201
"Mab-21_C","PF20266.1","Mab-21 protein HhH/H2TH-like domain","24.1; 24.1;","Domain",97
"Mac","PF12464.11","Maltose acetyltransferase","22.1; 22.1;","Family",53
"Mac-1","PF09028.13","Mac 1","20.3; 20.3;","Domain",353
"MacB_PCD","PF12704.10","MacB-like periplasmic core domain","27; 27;","Family",196
"Macin","PF14865.9","Macin","27; 27;","Domain",60
"Macoilin","PF09726.12","Macoilin family","32; 32;","Family",673
"MACPF","PF01823.22","MAC/Perforin domain","21.5; 21.5;","Domain",212
"Macro","PF01661.24","Macro domain","22; 22;","Domain",118
"Macro_2","PF14519.9","Macro-like domain","27; 27;","Domain",275
"Macscav_rec","PF03523.16","Macrophage scavenger receptor","25; 25;","Family",49
"Mac_assoc","PF16628.8","Unstructured region on maltose acetyltransferase","26.6; 26.6;","Disordered",185
"MAD","PF05557.16","Mitotic checkpoint protein","30; 30;","Coiled-coil",661
"Mad3_BUB1_I","PF08311.15","Mad3/BUB1 homology region 1","31.4; 31.4;","Repeat",124
"Mad3_BUB1_II","PF08171.14","Mad3/BUB1 homology region 2","21; 21;","Domain",68
"Mad3_BUB1_I_2","PF17014.8","Putative Mad3/BUB1 like region 1 protein","37.6; 37.6;","Family",128
"MADF_DNA_bdg","PF10545.12","Alcohol dehydrogenase transcription factor Myb/SANT-like","22; 22;","Domain",84
"MadL","PF03817.16","Malonate transporter MadL subunit","25; 25;","Family",118
"MadM","PF03818.16","Malonate/sodium symporter MadM subunit","24.8; 24.8;","Family",249
"Maelstrom","PF13017.9","piRNA pathway germ-plasm component","22; 22;","Family",216
"Maf","PF02545.17","Maf-like protein","27; 27;","Domain",189
"Maf1","PF09174.13","Maf1 regulator","28.9; 28.9;","Family",174
"MafB","PF06255.16","Neisseria toxin MafB","25; 25;","Family",312
"MafB19-deam","PF14437.9","MafB19-like deaminase","27; 27;","Family",138
"Maff2","PF12750.10","Maff2 family","27; 27;","Family",70
"Maf_C","PF20156.2","Flagellin glycosyltransferase Maf helical bundle domain","27; 27;","Domain",122
"Maf_flag10_N","PF20157.2","Glycosyltransferase Maf N-terminal domain","23.5; 23.5;","Domain",228
"Maf_N","PF08383.14","Maf N-terminal region","27; 27;","Family",34
"MAGE","PF01454.22","MAGE homology domain","25; 25;","Domain",212
"MAGE_N","PF12440.11","Melanoma associated antigen family N terminal","26.6; 26.6;","Family",92
"MAGI_u1","PF16663.8","Unstructured region on MAGI","28.1; 28.1;","Disordered",60
"MAGI_u5","PF16666.8","Unstructured region on MAGI","27; 27;","Disordered",109
"Mago-bind","PF09282.13","Mago binding","20.6; 20.6;","Domain",27
"Mago_nashi","PF02792.17","Mago nashi protein","27; 27;","Family",142
"MAGP","PF05507.14","Microfibril-associated glycoprotein (MAGP)","28; 28;","Family",137
"MAGSP","PF03082.17","Male accessory gland secretory protein","25; 25;","Family",264
"MAGUK_N_PEST","PF10608.12","Polyubiquitination (PEST) N-terminal domain of MAGUK","21.6; 21.6;","Domain",88
"MAJIN","PF15077.9","Membrane-anchored junction protein","27; 27;","Family",238
"Mak10","PF04112.16","Mak10 subunit, NatC N(alpha)-terminal acetyltransferase","24; 24;","Family",169
"Mak16","PF04874.17","Mak16 protein C-terminal region","23.5; 23.5;","Family",100
"Mak_N_cap","PF18085.4","Maltokinase N-terminal cap domain","22; 22;","Domain",88
"Malate_DH","PF12434.11","Malate dehydrogenase enzyme","21.5; 21.5;","Family",32
"Malate_synthase","PF01274.25","Malate synthase","27; 27;","Family",526
"Malectin","PF11721.11","Malectin domain","23; 23;","Domain",165
"Malectin_like","PF12819.10","Malectin-like domain","24.5; 24.5;","Domain",335
"MalF_P2","PF14785.9","Maltose transport system permease protein MalF P2 domain","34.4; 34.4;","Family",164
"malic","PF00390.22","Malic enzyme, N-terminal domain","23.1; 23.1;","Domain",182
"Malic_M","PF03949.18","Malic enzyme, NAD binding domain","23.5; 23.5;","Domain",258
"MalM","PF07148.15","Maltose operon periplasmic protein precursor (MalM)","26; 26;","Family",134
"MALT1_Ig","PF18703.4","MALT1 Ig-like domain","26.4; 26.4;","Domain",138
"Malt_amylase_C","PF16657.8","Maltogenic Amylase, C-terminal domain","27; 27;","Family",75
"Mal_decarbox_Al","PF16957.8","Malonate decarboxylase, alpha subunit, transporter","25.4; 25.4;","Family",548
"MAM","PF00629.26","MAM domain, meprin/A5/mu","26.4; 26.4;","Domain",161
"MAM1","PF10434.12","Monopolin complex protein MAM1","25; 25;","Family",268
"MAM33","PF02330.19","Mitochondrial glycoprotein","21.9; 21.9;","Domain",212
"MamL-1","PF09596.13","MamL-1 domain","25; 25;","Domain",58
"Man-6-P_recep","PF02157.18","Mannose-6-phosphate receptor","25.4; 25.4;","Family",254
"MANEC","PF07502.17","MANEC domain","25.5; 25.5;","Domain",90
"Mannitol_dh","PF01232.26","Mannitol dehydrogenase Rossmann domain","27; 27;","Domain",151
"Mannitol_dh_C","PF08125.16","Mannitol dehydrogenase C-terminal domain","30.7; 30.7;","Domain",246
"MannoseP_isomer","PF01050.21","Mannose-6-phosphate isomerase","23.6; 23.6;","Family",151
"Mannosidase_ig","PF17786.4","Mannosidase Ig/CBM-like domain","23.4; 23.4;","Domain",93
"Mannosyl_trans","PF05007.16","Mannosyltransferase (PIG-M)","23.4; 23.4;","Family",259
"Mannosyl_trans2","PF04188.16","Mannosyltransferase (PIG-V)","22.4; 22.4;","Family",443
"Mannosyl_trans3","PF11051.11","Mannosyltransferase putative","22; 22;","Family",273
"Mannosyl_trans4","PF15971.8","DolP-mannose mannosyltransferase","33; 33;","Family",163
"MaoC_dehydratas","PF01575.22","MaoC like domain","27; 27;","Domain",123
"MaoC_dehydrat_N","PF13452.9","N-terminal half of MaoC dehydratase","22; 22;","Domain",132
"MAP","PF03642.16","MAP domain","24.3; 24.3;","Domain",88
"MAP17","PF15807.8","Membrane-associated protein 117 kDa, PDZK1-interacting protein 1","29.6; 29.6;","Family",122
"MAP1B_neuraxin","PF00414.20","Neuraxin and MAP1B repeat","20.6; 20.6;","Repeat",17
"MAP2_projctn","PF08377.13","MAP2/Tau projection domain","27; 27;","Family",1134
"MAP3K_TRAF_bd","PF13281.9","MAP3K TRAFs-binding domain","24.1; 23.4;","Repeat",369
"MAP65_ASE1","PF03999.15","Microtubule associated protein (MAP65/ASE1 family)","26.9; 26.9;","Family",477
"MAP7","PF05672.14","MAP7 (E-MAP-115) family","28.5; 28.5;","Coiled-coil",157
"MAP70","PF07058.14","Microtubule-associated protein 70","27; 27;","Family",554
"MAPEG","PF01124.21","MAPEG family","23.4; 23.4;","Family",130
"MAPKK1_Int","PF08923.13","Mitogen-activated protein kinase kinase 1 interacting","25; 25;","Domain",119
"MapZ_C2","PF18708.4","MapZ extracellular C-terminal domain 2","48.3; 48.3;","Domain",94
"MapZ_EC1","PF18041.4","MapZ extracellular domain 1","33.1; 33.1;","Domain",129
"MarB","PF13999.9","MarB protein","27; 27;","Family",65
"MarC","PF01914.20","MarC family integral membrane protein","23.9; 23.9;","Family",203
"MARCKS","PF02063.20","MARCKS family","24; 24;","Family",289
"Marek_A","PF02124.18","Marek's disease glycoprotein A","24.1; 24.1;","Domain",90
"Marek_SORF3","PF07153.14","Marek's disease-like virus SORF3 protein","25; 25;","Family",253
"MARF1_LOTUS","PF19687.2","MARF1 LOTUS domain","27; 27;","Domain",210
"MARF1_RRM1","PF11608.11","MARF1, RNA recognition motif 1","27; 27;","Domain",89
"MarR","PF01047.25","MarR family","24.6; 24.6;","Domain",59
"MarR_2","PF12802.10","MarR family","27; 27;","Family",61
"MARVEL","PF01284.26","Membrane-associating domain","32.8; 32.8;","Domain",144
"MAR_sialic_bdg","PF10564.12","Sialic-acid binding micronemal adhesive repeat","25.1; 25.1;","Repeat",94
"MAS20","PF02064.18","MAS20 protein import receptor","27; 27;","Family",132
"MASE1","PF05231.17","MASE1","29.8; 29.8;","Domain",300
"MASE2","PF05230.14","MASE2 domain","25; 25;","Domain",89
"MASE3","PF17159.7","Membrane-associated sensor domain","41.2; 41.2;","Family",226
"MASE4","PF17158.7","Membrane-associated sensor, integral membrane domain","28.4; 28.4;","Family",239
"MASE5","PF17178.7","Membrane-associated sensor","25.2; 25.2;","Family",192
"Mastoparan","PF08249.14","Mastoparan protein","21; 21;","Family",14
"Mastoparan_2","PF08251.14","Mastoparan peptide","25; 25;","Family",14
"MAT1","PF06391.16","CDK-activating kinase assembly factor MAT1","25; 25;","Family",204
"MAT1-1-2","PF17043.8","Mating type protein 1-1-2 of unknown function","26.3; 25.3;","Family",147
"Mat89Bb","PF10221.12","Cell cycle and development regulator Mat89Bb","25; 25;","Family",691
"MATalpha_HMGbox","PF04769.15","Mating-type protein MAT alpha 1 HMG-box","28.1; 28.1;","Family",194
"MatB","PF16449.8","Fimbrillin MatB","27; 27;","Domain",168
"MatC_N","PF07158.14","Dicarboxylate carrier protein MatC N-terminus","23; 23;","Family",149
"MatE","PF01554.21","MatE","24.9; 24.9;","Family",161
"MATH","PF00917.29","MATH domain","21.2; 13.7;","Domain",113
"Mating_C","PF12737.10","C-terminal domain of homeodomain 1","22.5; 22.1;","Domain",414
"Mating_N","PF12731.10","Mating-type protein beta 1","21.4; 21.4;","Family",95
"MatK_N","PF01824.21","MatK/TrnK amino terminal region","31.4; 31.4;","Family",331
"MatP","PF06303.15","MatP N-terminal domain","27; 27;","Domain",84
"MatP_C","PF17414.5","MatP C-terminal ribbon-helix-helix domain","24; 24;","Domain",60
"Matrilin_ccoil","PF10393.12","Trimeric coiled-coil oligomerisation domain of matrilin","26.3; 26.3;","Coiled-coil",45
"Matrix","PF00661.24","Viral matrix protein","27; 27;","Family",340
"MauE","PF07291.14","Methylamine utilisation protein MauE","21.3; 21.3;","Family",185
"MauJ","PF17419.5","Methylamine utilization protein MauJ","25.3; 25.3;","Family",282
"MazE-like","PF11455.11","Antitoxin MazE-like","22; 22;","Family",64
"MazE_antitoxin","PF04014.21","Antidote-toxin recognition MazE, bacterial antitoxin","24.7; 24.7;","Domain",46
"MazG","PF03819.20","MazG nucleotide pyrophosphohydrolase domain","22; 22;","Domain",74
"MazG-like","PF12643.10","MazG-like family","27; 27;","Domain",85
"MazG_C","PF18722.4","MazG C-terminal domain","29.7; 29.7;","Domain",190
"MBA1","PF07961.14","MBA1-like protein","27.4; 27.4;","Family",235
"MBD","PF01429.22","Methyl-CpG binding domain","21; 21;","Domain",77
"MBDa","PF16564.8","p55-binding region of Methyl-CpG-binding domain proteins MBD","27; 27;","Domain",71
"MBD_C","PF14048.9","C-terminal domain of methyl-CpG binding protein 2 and 3","27; 27;","Family",94
"MbeB_N","PF04837.15","MbeB-like, N-term conserved region","22; 22;","Family",52
"MbeD_MobD","PF04899.15","MbeD/MobD like","21.6; 21.6;","Family",70
"Mbeg1-like","PF11187.11","Mbeg1-like","21.1; 21.1;","Family",224
"MBF1","PF08523.13","Multiprotein bridging factor 1","22.2; 22.2;","Family",72
